time_s,bpf_hz,rpm,bpf_hz_smooth,rpm_smooth
24.448,52.734375,1054.6875,54.6875,1093.75
24.576,52.734375,1054.6875,54.6875,1093.75
24.704,54.6875,1093.75,54.6875,1093.75
24.832,54.6875,1093.75,54.6875,1093.75
24.96,54.6875,1093.75,54.6875,1093.75
25.088,64.453125,1289.0625,58.59375,1171.875
25.216,60.546875,1210.9375,58.59375,1171.875
25.344,82.03125,1640.625,58.59375,1171.875
25.472,58.59375,1171.875,58.59375,1171.875
25.6,56.640625,1132.8125,58.59375,1171.875
25.728,54.6875,1093.75,58.59375,1171.875
25.855999999999998,50.78125,1015.625,58.59375,1171.875
25.983999999999998,64.453125,1289.0625,56.640625,1132.8125
26.112,64.453125,1289.0625,54.6875,1093.75
26.24,64.453125,1289.0625,54.6875,1093.75
26.368,54.6875,1093.75,54.6875,1093.75
26.496,54.6875,1093.75,54.6875,1093.75
26.624,54.6875,1093.75,54.6875,1093.75
26.752,54.6875,1093.75,54.6875,1093.75
26.88,52.734375,1054.6875,54.6875,1093.75
27.008,60.546875,1210.9375,54.6875,1093.75
27.136,60.546875,1210.9375,54.6875,1093.75
27.264,64.453125,1289.0625,54.6875,1093.75
27.392,52.734375,1054.6875,56.640625,1132.8125
27.52,52.734375,1054.6875,56.640625,1132.8125
27.648,54.6875,1093.75,56.640625,1132.8125
27.776,56.640625,1132.8125,56.640625,1132.8125
27.904,56.640625,1132.8125,56.640625,1132.8125
28.032,56.640625,1132.8125,56.640625,1132.8125
28.16,56.640625,1132.8125,56.640625,1132.8125
28.288,64.453125,1289.0625,56.640625,1132.8125
28.416,54.6875,1093.75,56.640625,1132.8125
28.544,56.640625,1132.8125,56.640625,1132.8125
28.672,56.640625,1132.8125,56.640625,1132.8125
28.8,56.640625,1132.8125,54.6875,1093.75
28.928,54.6875,1093.75,54.6875,1093.75
29.056,54.6875,1093.75,54.6875,1093.75
29.184,54.6875,1093.75,54.6875,1093.75
29.312,54.6875,1093.75,54.6875,1093.75
29.44,130.859375,2617.1875,54.6875,1093.75
29.568,56.640625,1132.8125,54.6875,1093.75
29.696,54.6875,1093.75,54.6875,1093.75
29.823999999999998,54.6875,1093.75,56.640625,1132.8125
29.951999999999998,52.734375,1054.6875,54.6875,1093.75
30.08,80.078125,1601.5625,54.6875,1093.75
30.208,56.640625,1132.8125,54.6875,1093.75
30.336,54.6875,1093.75,54.6875,1093.75
30.464,52.734375,1054.6875,56.640625,1132.8125
30.592,54.6875,1093.75,54.6875,1093.75
30.72,58.59375,1171.875,54.6875,1093.75
30.848,60.546875,1210.9375,54.6875,1093.75
30.976,52.734375,1054.6875,56.640625,1132.8125
31.104,52.734375,1054.6875,56.640625,1132.8125
31.232,82.03125,1640.625,56.640625,1132.8125
31.36,56.640625,1132.8125,56.640625,1132.8125
31.488,56.640625,1132.8125,56.640625,1132.8125
31.616,58.59375,1171.875,56.640625,1132.8125
31.744,56.640625,1132.8125,56.640625,1132.8125
31.872,52.734375,1054.6875,56.640625,1132.8125
32.0,54.6875,1093.75,54.6875,1093.75
32.128,54.6875,1093.75,54.6875,1093.75
32.256,82.03125,1640.625,54.6875,1093.75
32.384,54.6875,1093.75,54.6875,1093.75
32.512,54.6875,1093.75,54.6875,1093.75
32.64,52.734375,1054.6875,54.6875,1093.75
32.768,52.734375,1054.6875,54.6875,1093.75
32.896,52.734375,1054.6875,54.6875,1093.75
33.024,60.546875,1210.9375,54.6875,1093.75
33.152,62.5,1250.0,60.546875,1210.9375
33.28,62.5,1250.0,60.546875,1210.9375
33.408,54.6875,1093.75,60.546875,1210.9375
33.536,74.21875,1484.375,54.6875,1093.75
33.664,54.6875,1093.75,54.6875,1093.75
33.792,54.6875,1093.75,54.6875,1093.75
33.92,52.734375,1054.6875,54.6875,1093.75
34.048,54.6875,1093.75,54.6875,1093.75
34.176,54.6875,1093.75,54.6875,1093.75
34.304,54.6875,1093.75,54.6875,1093.75
34.432,54.6875,1093.75,54.6875,1093.75
34.56,54.6875,1093.75,54.6875,1093.75
34.688,64.453125,1289.0625,54.6875,1093.75
34.816,64.453125,1289.0625,54.6875,1093.75
34.944,82.03125,1640.625,54.6875,1093.75
35.072,54.6875,1093.75,54.6875,1093.75
35.2,54.6875,1093.75,54.6875,1093.75
35.328,54.6875,1093.75,54.6875,1093.75
35.456,54.6875,1093.75,54.6875,1093.75
35.584,54.6875,1093.75,54.6875,1093.75
35.712,54.6875,1093.75,54.6875,1093.75
35.839999999999996,58.59375,1171.875,58.59375,1171.875
35.967999999999996,60.546875,1210.9375,58.59375,1171.875
36.096,60.546875,1210.9375,58.59375,1171.875
36.224,82.03125,1640.625,58.59375,1171.875
36.352,54.6875,1093.75,60.546875,1210.9375
36.48,54.6875,1093.75,60.546875,1210.9375
36.608,54.6875,1093.75,54.6875,1093.75
36.736,82.03125,1640.625,54.6875,1093.75
36.864,66.40625,1328.125,60.546875,1210.9375
36.992,54.6875,1093.75,60.546875,1210.9375
37.12,70.3125,1406.25,66.40625,1328.125
37.248,60.546875,1210.9375,60.546875,1210.9375
37.376,60.546875,1210.9375,60.546875,1210.9375
37.504,140.625,2812.5,60.546875,1210.9375
37.632,52.734375,1054.6875,54.6875,1093.75
37.76,54.6875,1093.75,54.6875,1093.75
37.888,54.6875,1093.75,54.6875,1093.75
38.016,54.6875,1093.75,54.6875,1093.75
38.144,54.6875,1093.75,54.6875,1093.75
38.272,82.03125,1640.625,80.078125,1601.5625
38.4,82.03125,1640.625,82.03125,1640.625
38.528,80.078125,1601.5625,82.03125,1640.625
38.656,82.03125,1640.625,82.03125,1640.625
38.784,82.03125,1640.625,82.03125,1640.625
38.912,82.03125,1640.625,82.03125,1640.625
39.04,82.03125,1640.625,82.03125,1640.625
39.168,82.03125,1640.625,82.03125,1640.625
39.296,54.6875,1093.75,68.359375,1367.1875
39.424,68.359375,1367.1875,68.359375,1367.1875
39.552,54.6875,1093.75,58.59375,1171.875
39.68,58.59375,1171.875,56.640625,1132.8125
39.808,74.21875,1484.375,56.640625,1132.8125
39.936,56.640625,1132.8125,54.6875,1093.75
40.064,54.6875,1093.75,54.6875,1093.75
40.192,54.6875,1093.75,54.6875,1093.75
40.32,52.734375,1054.6875,54.6875,1093.75
40.448,54.6875,1093.75,54.6875,1093.75
40.576,54.6875,1093.75,54.6875,1093.75
40.704,52.734375,1054.6875,54.6875,1093.75
40.832,144.53125,2890.625,54.6875,1093.75
40.96,82.03125,1640.625,82.03125,1640.625
41.088,142.578125,2851.5625,82.03125,1640.625
41.216,54.6875,1093.75,82.03125,1640.625
41.344,136.71875,2734.375,56.640625,1132.8125
41.472,56.640625,1132.8125,54.6875,1093.75
41.6,54.6875,1093.75,54.6875,1093.75
41.728,54.6875,1093.75,54.6875,1093.75
41.856,50.78125,1015.625,54.6875,1093.75
41.984,50.78125,1015.625,54.6875,1093.75
42.112,54.6875,1093.75,54.6875,1093.75
42.24,54.6875,1093.75,54.6875,1093.75
42.368,54.6875,1093.75,54.6875,1093.75
42.496,54.6875,1093.75,54.6875,1093.75
42.624,54.6875,1093.75,54.6875,1093.75
42.752,54.6875,1093.75,54.6875,1093.75
42.88,54.6875,1093.75,54.6875,1093.75
43.008,54.6875,1093.75,54.6875,1093.75
43.136,54.6875,1093.75,54.6875,1093.75
43.264,68.359375,1367.1875,54.6875,1093.75
43.392,68.359375,1367.1875,54.6875,1093.75
43.52,54.6875,1093.75,54.6875,1093.75
43.648,80.078125,1601.5625,54.6875,1093.75
43.775999999999996,54.6875,1093.75,54.6875,1093.75
43.903999999999996,54.6875,1093.75,54.6875,1093.75
44.032,52.734375,1054.6875,54.6875,1093.75
44.16,58.59375,1171.875,54.6875,1093.75
44.288,54.6875,1093.75,54.6875,1093.75
44.416,52.734375,1054.6875,54.6875,1093.75
44.544,82.03125,1640.625,56.640625,1132.8125
44.672,54.6875,1093.75,56.640625,1132.8125
44.8,58.59375,1171.875,56.640625,1132.8125
44.928,56.640625,1132.8125,58.59375,1171.875
45.056,56.640625,1132.8125,58.59375,1171.875
45.184,58.59375,1171.875,58.59375,1171.875
45.312,72.265625,1445.3125,56.640625,1132.8125
45.44,70.3125,1406.25,58.59375,1171.875
45.568,50.78125,1015.625,58.59375,1171.875
45.696,52.734375,1054.6875,58.59375,1171.875
45.824,58.59375,1171.875,58.59375,1171.875
45.952,58.59375,1171.875,58.59375,1171.875
46.08,82.03125,1640.625,58.59375,1171.875
46.208,80.078125,1601.5625,58.59375,1171.875
46.336,58.59375,1171.875,58.59375,1171.875
46.464,50.78125,1015.625,58.59375,1171.875
46.592,50.78125,1015.625,58.59375,1171.875
46.72,52.734375,1054.6875,58.59375,1171.875
46.848,80.078125,1601.5625,54.6875,1093.75
46.976,80.078125,1601.5625,80.078125,1601.5625
47.104,80.078125,1601.5625,80.078125,1601.5625
47.232,54.6875,1093.75,80.078125,1601.5625
47.36,85.9375,1718.75,54.6875,1093.75
47.488,50.78125,1015.625,54.6875,1093.75
47.616,50.78125,1015.625,52.734375,1054.6875
47.744,54.6875,1093.75,52.734375,1054.6875
47.872,52.734375,1054.6875,52.734375,1054.6875
48.0,52.734375,1054.6875,52.734375,1054.6875
48.128,54.6875,1093.75,54.6875,1093.75
48.256,56.640625,1132.8125,54.6875,1093.75
48.384,50.78125,1015.625,54.6875,1093.75
48.512,87.890625,1757.8125,56.640625,1132.8125
48.64,87.890625,1757.8125,58.59375,1171.875
48.768,52.734375,1054.6875,58.59375,1171.875
48.896,68.359375,1367.1875,58.59375,1171.875
49.024,58.59375,1171.875,58.59375,1171.875
49.152,56.640625,1132.8125,58.59375,1171.875
49.28,58.59375,1171.875,58.59375,1171.875
49.408,58.59375,1171.875,58.59375,1171.875
49.536,82.03125,1640.625,58.59375,1171.875
49.664,50.78125,1015.625,58.59375,1171.875
49.792,50.78125,1015.625,54.6875,1093.75
49.92,78.125,1562.5,54.6875,1093.75
50.048,54.6875,1093.75,54.6875,1093.75
50.176,54.6875,1093.75,54.6875,1093.75
50.304,52.734375,1054.6875,58.59375,1171.875
50.432,66.40625,1328.125,54.6875,1093.75
50.56,58.59375,1171.875,54.6875,1093.75
50.688,60.546875,1210.9375,54.6875,1093.75
50.816,54.6875,1093.75,54.6875,1093.75
50.944,50.78125,1015.625,54.6875,1093.75
51.072,50.78125,1015.625,54.6875,1093.75
51.2,52.734375,1054.6875,52.734375,1054.6875
51.328,54.6875,1093.75,52.734375,1054.6875
51.456,54.6875,1093.75,54.6875,1093.75
51.584,52.734375,1054.6875,54.6875,1093.75
51.712,54.6875,1093.75,54.6875,1093.75
51.839999999999996,54.6875,1093.75,54.6875,1093.75
51.967999999999996,54.6875,1093.75,54.6875,1093.75
52.096,58.59375,1171.875,54.6875,1093.75
52.224,54.6875,1093.75,56.640625,1132.8125
52.352,62.5,1250.0,56.640625,1132.8125
52.48,62.5,1250.0,58.59375,1171.875
52.608,56.640625,1132.8125,62.5,1250.0
52.736,54.6875,1093.75,62.5,1250.0
52.864,72.265625,1445.3125,56.640625,1132.8125
52.992,70.3125,1406.25,56.640625,1132.8125
53.12,54.6875,1093.75,54.6875,1093.75
53.248,52.734375,1054.6875,54.6875,1093.75
53.376,58.59375,1171.875,54.6875,1093.75
53.504,54.6875,1093.75,52.734375,1054.6875
53.632,52.734375,1054.6875,52.734375,1054.6875
53.76,52.734375,1054.6875,52.734375,1054.6875
53.888,52.734375,1054.6875,52.734375,1054.6875
54.016,52.734375,1054.6875,52.734375,1054.6875
54.144,50.78125,1015.625,52.734375,1054.6875
54.272,50.78125,1015.625,52.734375,1054.6875
54.4,52.734375,1054.6875,52.734375,1054.6875
54.528,52.734375,1054.6875,52.734375,1054.6875
54.656,54.6875,1093.75,52.734375,1054.6875
54.784,52.734375,1054.6875,52.734375,1054.6875
54.912,58.59375,1171.875,52.734375,1054.6875
55.04,54.6875,1093.75,54.6875,1093.75
55.168,52.734375,1054.6875,52.734375,1054.6875
55.296,52.734375,1054.6875,54.6875,1093.75
55.424,54.6875,1093.75,54.6875,1093.75
55.552,52.734375,1054.6875,54.6875,1093.75
55.68,54.6875,1093.75,54.6875,1093.75
55.808,54.6875,1093.75,54.6875,1093.75
55.936,54.6875,1093.75,54.6875,1093.75
56.064,58.59375,1171.875,54.6875,1093.75
56.192,56.640625,1132.8125,54.6875,1093.75
56.32,54.6875,1093.75,54.6875,1093.75
56.448,52.734375,1054.6875,54.6875,1093.75
56.576,52.734375,1054.6875,54.6875,1093.75
56.704,54.6875,1093.75,52.734375,1054.6875
56.832,105.46875,2109.375,52.734375,1054.6875
56.96,52.734375,1054.6875,52.734375,1054.6875
57.088,52.734375,1054.6875,52.734375,1054.6875
57.216,54.6875,1093.75,52.734375,1054.6875
57.344,52.734375,1054.6875,52.734375,1054.6875
57.472,52.734375,1054.6875,54.6875,1093.75
57.6,54.6875,1093.75,54.6875,1093.75
57.728,54.6875,1093.75,54.6875,1093.75
57.856,54.6875,1093.75,54.6875,1093.75
57.984,60.546875,1210.9375,54.6875,1093.75
58.112,50.78125,1015.625,54.6875,1093.75
58.24,54.6875,1093.75,54.6875,1093.75
58.368,54.6875,1093.75,56.640625,1132.8125
58.496,56.640625,1132.8125,56.640625,1132.8125
58.624,56.640625,1132.8125,56.640625,1132.8125
58.752,58.59375,1171.875,56.640625,1132.8125
58.88,56.640625,1132.8125,56.640625,1132.8125
59.008,54.6875,1093.75,56.640625,1132.8125
59.136,56.640625,1132.8125,56.640625,1132.8125
59.264,58.59375,1171.875,56.640625,1132.8125
59.392,54.6875,1093.75,56.640625,1132.8125
59.52,80.078125,1601.5625,58.59375,1171.875
59.648,80.078125,1601.5625,62.5,1250.0
59.775999999999996,54.6875,1093.75,62.5,1250.0
59.903999999999996,62.5,1250.0,62.5,1250.0
60.032,68.359375,1367.1875,60.546875,1210.9375
60.16,56.640625,1132.8125,56.640625,1132.8125
60.288,60.546875,1210.9375,56.640625,1132.8125
60.416,52.734375,1054.6875,56.640625,1132.8125
60.544,54.6875,1093.75,56.640625,1132.8125
60.672,52.734375,1054.6875,60.546875,1210.9375
60.8,70.3125,1406.25,70.3125,1406.25
60.928,72.265625,1445.3125,70.3125,1406.25
61.056,107.421875,2148.4375,70.3125,1406.25
61.184,107.421875,2148.4375,70.3125,1406.25
61.312,52.734375,1054.6875,54.6875,1093.75
61.44,52.734375,1054.6875,54.6875,1093.75
61.568,54.6875,1093.75,54.6875,1093.75
61.696,54.6875,1093.75,54.6875,1093.75
61.824,54.6875,1093.75,54.6875,1093.75
61.952,54.6875,1093.75,54.6875,1093.75
62.08,54.6875,1093.75,54.6875,1093.75
62.208,54.6875,1093.75,54.6875,1093.75
62.336,52.734375,1054.6875,54.6875,1093.75
62.464,70.3125,1406.25,56.640625,1132.8125
62.592,70.3125,1406.25,58.59375,1171.875
62.72,58.59375,1171.875,58.59375,1171.875
62.848,56.640625,1132.8125,58.59375,1171.875
62.976,58.59375,1171.875,58.59375,1171.875
63.104,50.78125,1015.625,58.59375,1171.875
63.232,52.734375,1054.6875,58.59375,1171.875
63.36,70.3125,1406.25,58.59375,1171.875
63.488,70.3125,1406.25,54.6875,1093.75
63.616,62.5,1250.0,62.5,1250.0
63.744,54.6875,1093.75,62.5,1250.0
63.872,50.78125,1015.625,54.6875,1093.75
